epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1077.79,1.7493,2.08953,1.58924,0.41466,0.34951,0.31648,0.1465,1.86322,2.24815,1.6679,0.000370221,0.000370221,0.000370221
2,2133.63,1.82315,2.25849,1.64591,0.43875,0.36358,0.33557,0.15521,1.84609,2.26484,1.65044,0.000699824,0.000699824,0.000699824
3,3185.65,1.82373,2.24065,1.64645,0.42786,0.38708,0.35132,0.16235,1.82556,2.18061,1.63893,0.00098869,0.00098869,0.00098869
4,4234.02,1.79058,2.16059,1.62045,0.46433,0.40763,0.39252,0.19024,1.78831,2.08388,1.59494,0.000927685,0.000927685,0.000927685
5,5282.56,1.7584,2.06146,1.58885,0.51068,0.42913,0.42983,0.21052,1.72757,1.98089,1.55684,0.00086658,0.00086658,0.00086658
6,6331.69,1.7176,1.98979,1.56673,0.51349,0.45028,0.45798,0.22996,1.70078,1.87725,1.52655,0.000805475,0.000805475,0.000805475
7,7379.43,1.69271,1.93929,1.54718,0.52803,0.47222,0.47165,0.2357,1.69732,1.81763,1.52868,0.00074437,0.00074437,0.00074437
8,8427.29,1.67186,1.8739,1.53389,0.55056,0.48683,0.49912,0.24967,1.6624,1.79626,1.50682,0.000683265,0.000683265,0.000683265
9,9467.01,1.67242,1.81596,1.56918,0.56103,0.48785,0.50352,0.25959,1.65018,1.75421,1.50253,0.00062216,0.00062216,0.00062216
10,10504.9,1.64031,1.74681,1.54407,0.56392,0.49255,0.51412,0.26631,1.64538,1.71785,1.49848,0.000561055,0.000561055,0.000561055
11,11546.1,1.61568,1.69358,1.53068,0.57323,0.50482,0.52951,0.27444,1.64328,1.69427,1.49135,0.00049995,0.00049995,0.00049995
12,12588.4,1.59387,1.63926,1.51201,0.58946,0.51099,0.54079,0.28307,1.62748,1.65462,1.48325,0.000438845,0.000438845,0.000438845
13,13629.7,1.57801,1.59401,1.49999,0.58637,0.53041,0.55437,0.29128,1.61982,1.64958,1.47734,0.00037774,0.00037774,0.00037774
14,14671.1,1.55405,1.55165,1.48666,0.59348,0.53422,0.55853,0.29673,1.62665,1.61909,1.47501,0.000316635,0.000316635,0.000316635
15,15715,1.53304,1.50238,1.46361,0.60303,0.53651,0.56967,0.30215,1.61142,1.60213,1.46325,0.00025553,0.00025553,0.00025553
16,16757.3,1.51326,1.46391,1.45545,0.60831,0.53834,0.5708,0.30556,1.60631,1.56766,1.46741,0.000194425,0.000194425,0.000194425
17,17800.1,1.48798,1.42684,1.43566,0.60862,0.55032,0.57701,0.30928,1.59814,1.56396,1.46065,0.00013332,0.00013332,0.00013332
18,18842.4,1.47223,1.39723,1.42722,0.60767,0.55072,0.58391,0.31149,1.60546,1.55808,1.46459,7.2215e-05,7.2215e-05,7.2215e-05
