epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,661.086,2.00522,2.99439,1.8199,0.27916,0.27834,0.18693,0.07226,2.14474,2.83955,1.98658,0.0003698,0.0003698,0.0003698
2,1322.97,1.97252,2.41324,1.788,0.24609,0.34776,0.22864,0.09129,2.10401,2.65402,1.8732,0.000699426,0.000699426,0.000699426
3,1976.8,1.88633,2.24101,1.71299,0.40072,0.36585,0.32472,0.142,1.9412,2.2602,1.75292,0.000988316,0.000988316,0.000988316
4,2628.83,1.82737,2.12523,1.66314,0.44878,0.39513,0.36999,0.17,1.88937,2.097,1.71974,0.000927685,0.000927685,0.000927685
5,3281.42,1.78017,2.04029,1.62747,0.47346,0.41734,0.40154,0.18759,1.83344,2.01563,1.68613,0.00086658,0.00086658,0.00086658
6,3934.25,1.7461,1.97453,1.59351,0.48664,0.42307,0.41556,0.19599,1.81855,1.98063,1.65683,0.000805475,0.000805475,0.000805475
7,4585.54,1.72284,1.91666,1.56887,0.50204,0.43027,0.43403,0.20668,1.79073,1.92472,1.62807,0.00074437,0.00074437,0.00074437
8,5237.42,1.69892,1.86701,1.55346,0.51656,0.45375,0.44808,0.21829,1.76616,1.88385,1.59643,0.000683265,0.000683265,0.000683265
9,5889.76,1.70801,1.81599,1.60175,0.51785,0.45384,0.45766,0.22555,1.75304,1.86048,1.5953,0.00062216,0.00062216,0.00062216
10,6538.63,1.67992,1.75475,1.57352,0.53266,0.46703,0.47665,0.2363,1.72859,1.80858,1.56392,0.000561055,0.000561055,0.000561055
11,7187.62,1.65774,1.70402,1.55713,0.53227,0.4853,0.48947,0.24541,1.71327,1.77337,1.55719,0.00049995,0.00049995,0.00049995
12,7836.17,1.63101,1.66318,1.53667,0.53389,0.49459,0.49557,0.24811,1.70954,1.75775,1.54235,0.000438845,0.000438845,0.000438845
13,8484.57,1.61061,1.60765,1.51726,0.55365,0.49738,0.50476,0.2558,1.70397,1.72964,1.53962,0.00037774,0.00037774,0.00037774
14,9133.3,1.5867,1.56776,1.5027,0.5595,0.49797,0.50992,0.26013,1.69415,1.70513,1.53881,0.000316635,0.000316635,0.000316635
15,9783.22,1.56812,1.52884,1.48648,0.57099,0.50095,0.51763,0.26363,1.70043,1.68917,1.53143,0.00025553,0.00025553,0.00025553
16,10431.8,1.54872,1.49135,1.46875,0.57459,0.50581,0.5205,0.26716,1.69571,1.66639,1.52912,0.000194425,0.000194425,0.000194425
17,11080.4,1.52961,1.45697,1.45629,0.57195,0.5125,0.52831,0.27212,1.68486,1.66243,1.5201,0.00013332,0.00013332,0.00013332
18,11729.4,1.51208,1.41715,1.44296,0.57261,0.51695,0.53087,0.27434,1.68421,1.64862,1.52608,7.2215e-05,7.2215e-05,7.2215e-05
